tx_id	tx_biotype	tx_seq_start	tx_seq_end	tx_cds_seq_start	tx_cds_seq_end	gene_id	tx_support_level	tx_id_version	gc_content	tx_external_name	tx_is_canonical	tx_name	gene_name
ENST00000296029	protein_coding	73980811	73982027	73981204	73981953	ENSG00000163737	1	ENST00000296029.4	43.9844760672704	PF4-201	1	ENST00000296029	PF4
LRG_636t1	LRG_gene	73980811	73982027	73981204	73981953	LRG_636	NA	LRG_636t1.1	43.9844760672704	NA	1	LRG_636t1	PF4
ENST00000687529	nonsense_mediated_decay	73981074	73982027	73981780	73981953	ENSG00000163737	NA	ENST00000687529.1	54.1258741258741	PF4-202	0	ENST00000687529	PF4
